"Parlamentar","Data Desbloqueio","Ano de Exercicio","Unidade Orcamentaria Cod","Unidade Orcamentaria Desc","SubTítulo","Código da Emenda","Nota Dotação","Ds Observação","Código Unidade Gestora","Código Programa Trabalho","Código Natureza Despesa","Vl Solicitado"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59107","ADMINISTRAÇÃO REGIONAL DE SOBRADINHO - RA V       ","AMPLIAÇÃO DA REDE DE ILUMINAÇÃO PÚBLICA-AMPLIAÇÃO DA REDE DE ILUMINAÇÃO PUBLICA EM SOBRADINHO-DISTRITO FEDERAL                                                                                                                                            ","1176","171 ","","190107","25 .451.6216.1763.0010","449051","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59108","ADMINISTRAÇÃO REGIONAL DE PLANALTINA - RA VI      ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-REALIZAÇÃO DE OBRAS DE INFRA-ESTRUTURA E URBANIZAÇÃO NA REGIÃO ADMINISTRATIVA DE PLANALTINA- PLANALTINA                                                                                                                  ","544","171 ","","190108","15 .451.6210.1110.0102","449051","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59111","ADMINISTRAÇÃO REGIONAL DE CEILÂNDIA - RA IX       ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-REALIZAÇÃO DE OBRAS DE INFRA-ESTRUTURA E URBANIZAÇÃO NA REGIÃO ADMINISTRATIVA DE CEILÂNDIA- CEILÂNDIA                                                                                                                    ","199","171 ","","190111","15 .451.6210.1110.0119","449051","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","REFORMA DE QUADRAS DE ESPORTES- IMPLANTAÇÃO DE COBERTURA E REFORMA DE QUADRAS DE ESPORTE-DISTRITO FEDERAL                                                                                                                                                 ","180","171 ","","190113","15 .451.6206.3440.0004","449051","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59114","ADMINISTRAÇÃO REGIONAL DE SAMAMBAIA - RA XII      ","REFORMA DE PRÉDIOS E PRÓPRIOS-REFORMA DO ESTÁDIO DE SAMAMBAIA- SAMAMBAIA                                                                                                                                                                                  ","1145","171 ","","190114","04 .451.6001.3903.0002","449051","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59114","ADMINISTRAÇÃO REGIONAL DE SAMAMBAIA - RA XII      ","REFORMA DE PRAÇAS PÚBLICAS E PARQUES-- SAMAMBAIA-DISTRITO FEDERAL                                                                                                                                                                                         ","33020","171 ","","190114","15 .451.6206.3902.0029","449051","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59114","ADMINISTRAÇÃO REGIONAL DE SAMAMBAIA - RA XII      ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-REALIZAÇÃO DE OBRAS DE INFRA-ESTRUTURA E URBANIZAÇÃO NA REGIÃO ADMINISTRATIVA DE SAMAMBAIA- SAMAMBAIA                                                                                                                    ","543","171 ","","190114","15 .451.6210.1110.0010","449051","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59114","ADMINISTRAÇÃO REGIONAL DE SAMAMBAIA - RA XII      ","AMPLIAÇÃO DA REDE DE ILUMINAÇÃO PÚBLICA-DAS QUADRAS 101, 102, 301 E 302 - SAMAMBAIA-DISTRITO FEDERAL                                                                                                                                                      ","3020","171 ","","190114","15 .752.6210.1763.0014","449051","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59114","ADMINISTRAÇÃO REGIONAL DE SAMAMBAIA - RA XII      ","AMPLIAÇÃO DA REDE DE ILUMINAÇÃO PÚBLICA-AMPLIAÇÃO DA REDE DE ILUMINAÇÃO PUBLICA- SAMAMBAIA                                                                                                                                                                ","1114","171 ","","190114","15 .752.6216.1763.0008","449051","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59114","ADMINISTRAÇÃO REGIONAL DE SAMAMBAIA - RA XII      ","REFORMA DE QUADRAS DE ESPORTES--DISTRITO FEDERAL                                                                                                                                                                                                          ","33320","171 ","","190114","27 .812.6206.3440.0025","449051","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59114","ADMINISTRAÇÃO REGIONAL DE SAMAMBAIA - RA XII      ","APOIO A EVENTOS-ESPORTIVOS NA REGIAO ADMINISTRATIVA- SAMAMBAIA                                                                                                                                                                                            ","1075","171 ","","190114","27 .812.6206.4090.0048","339030","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59114","ADMINISTRAÇÃO REGIONAL DE SAMAMBAIA - RA XII      ","APOIO A EVENTOS-ESPORTIVOS NA REGIAO ADMINISTRATIVA- SAMAMBAIA                                                                                                                                                                                            ","1075","171 ","","190114","27 .812.6206.4090.0048","339031","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59114","ADMINISTRAÇÃO REGIONAL DE SAMAMBAIA - RA XII      ","APOIO A EVENTOS-ESPORTIVOS NA REGIAO ADMINISTRATIVA- SAMAMBAIA                                                                                                                                                                                            ","1075","171 ","","190114","27 .812.6206.4090.0048","339039","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59116","ADMINISTRAÇÃO REGIONAL DE SÃO SEBASTIÃO - RA XIV  ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-REALIZAÇÃO DE OBRAS DE INFRA-ESTRUTURA E URBANIZAÇÃO NA REGIÃO ADMINISTRATIVA DE SÃO SEBASTIÃO- SÃO SEBASTIÃO                                                                                                            ","198","171 ","","190116","15 .451.6210.1110.0019","449051","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59117","ADMINISTRAÇÃO REGIONAL DO RECANTO DAS EMAS - RA XV","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-REALIZAÇÃO DE OBRAS DE INFRA-ESTRUTURA E URBANIZAÇÃO NA REGIÃO ADMINISTRATIVA DE SANTA MARIA- RECANTO DAS EMAS                                                                                                           ","197","171 ","","190117","15 .451.6210.1110.0023","449051","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","16101","SECRETARIA  DE ESTADO DE CULTURA DO DISTRITO FEDER","APOIO A EVENTOS-APOIO A EVENTOS NAS REGIÕES ADMINISTRATIVAS DO DISTRITO FEDERAL-DISTRITO FEDERAL","539","171 ","","190119","27 .392.6219.4090.0016","339036","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","16101","SECRETARIA  DE ESTADO DE CULTURA DO DISTRITO FEDER","APOIO A EVENTOS-APOIO A EVENTOS NAS REGIÕES ADMINISTRATIVAS DO DISTRITO FEDERAL-DISTRITO FEDERAL","539","171 ","","190119","27 .392.6219.4090.0016","339039","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59122","ADMINISTRAÇÃO REGIONAL DE ÁGUAS CLARAS - RA XX    ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-REALIZAÇÃO DE OBRAS DE INFRA-ESTRUTURA E URBANIZAÇÃO NA REGIÃO ADMINISTRATIVA DE ÁGUAS CLARAS- ÁGUAS CLARAS                                                                                                              ","200","171 ","","190122","15 .451.6210.1110.0031","449051","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","16101","SECRETARIA  DE ESTADO DE CULTURA DO DISTRITO FEDER","APOIO A EVENTOS-APOIO A EVENTOS NAS REGIÕES ADMINISTRATIVAS DO DISTRITO FEDERAL-DISTRITO FEDERAL","539","171 ","","190123","27 .392.6219.4090.0016","339039","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59123","ADMINISTRAÇÃO REGIONAL DO RIACHO FUNDO II - RA XXI","CONSERVAÇÃO DAS ESTRUTURAS FÍSICAS DE EDIFICAÇÕES PÚBLICAS-CONSERVAÇÃO DAS ESTRUTURAS FÍSICAS DE EDIFICAÇÕES PÚBLICAS-DISTRITO FEDERAL                                                                                                                    ","33021","171 ","","190123","04 .122.6001.2396.0001","339030","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59123","ADMINISTRAÇÃO REGIONAL DO RIACHO FUNDO II - RA XXI","REALIZAÇÃO DE EVENTOS-REALIZAÇÃO DE EVENTOS CULTURAIS-DISTRITO FEDERAL                                                                                                                                                                                    ","3021","171 ","","190123","13 .392.6206.3678.0044","339039","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59123","ADMINISTRAÇÃO REGIONAL DO RIACHO FUNDO II - RA XXI","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-REALIZAÇÃO DE OBRAS DE INFRA-ESTRUTURA E URBANIZAÇÃO NA REGIÃO ADMINISTRATIVA RIACHO FUNDO II- RIACHO FUNDO II                                                                                                           ","192","171 ","","190123","15 .451.6210.1110.0034","449051","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59123","ADMINISTRAÇÃO REGIONAL DO RIACHO FUNDO II - RA XXI","AMPLIAÇÃO DA REDE DE ILUMINAÇÃO PÚBLICA-- RIACHO FUNDO II                                                                                                                                                                                                 ","1074","171 ","","190123","25 .451.6216.1763.0013","449051","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59123","ADMINISTRAÇÃO REGIONAL DO RIACHO FUNDO II - RA XXI","APOIO A EVENTOS-- RIACHO FUNDO II                                                                                                                                                                                                                         ","1073","171 ","","190123","27 .812.6206.4090.0047","339039","250000"
